Name,Calories,Carbohydrates,Protein,Fats,Free Sugar,Fibre,Sodium,Calcium,Iron,Vitamin C
Pasteurized Toned Milk - Namaste India - 230 ml,306.0,7.8,3.52,3.1,0.0,0.0,0.108,0.0,0.0,0.0
catch sprinklers Table Salt - 100g,0.0,0.0,0.0,0.0,0.0,0.0,97.028,0.0,0.0,0.0
sattviko - 28gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amul Sugar free chocolate - 150g,1.0,57.3,6.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0
solen - 24 pieces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710780000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rishi Phalswal - Cadbury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kitkat - 25g,444.0,0.0,0.0,0.0,21.0,0.0,76.2,0.0,0.0,0.0
Prostar 100% whey,1.0,6.667,83.333,3.333,3.333,0.0,0.25,0.0,0.0,0.0
8901570000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8904110000000,2.0,48.9,25.0,21.2,0.0,0.0,2.0,0.0,0.0,0.0
Organic Coconut flour - Bob's Red Mill - 453 g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Coated Wafer Layers - Perk,2.0,68.0,3.3,25.7,46.1,1.3,0.094,0.0,0.0,0.0
Vanilla Muffin Small - Bliss Chocolates India Pvt. Ltd. - 2 pcs,1.0,45.2,5.6,20.2,26.37,7.5,0.0,0.0,0.0,0.0
Pizza peanuts - Pizmame - 32g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodrich - pizza topping - 200 g,1.0,5.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Fennel fusion - choko la - 40g,2.0,51.39,7.11,38.49,38.45,0.0,0.0,0.0,0.0,0.0
Mohun's - 500grams,1.0,86.0,6.42,0.53,6.29,0.55,1.346,0.0,0.0,0.0
Nutri choise essentials - Britannia - 150 g,2.0,72.0,7.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0
Pillsbury cookie cake - choco nut butter - 22 g,1.0,0.3,0.0,12.4,63.0,35.0,4.8,0.0,0.0,0.0
protinex mama - Danone - 250 g,1.0,57.0,32.0,1.5,30.5,0.0,420.0,0.0,0.0,0.0
Real fruit power - 1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spicy (Masala) Noddles Khakhara - Maniarr's - 45g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pizza Khakhara - Maniarr's - 45 g,1.69,54.3,0.0,16.7,0.0,0.0,2.59,0.0,0.0,0.0
Hutsun flaovored milk chocolate - Hatsun - 200 ml,753.0,10.0,0.0,3.0,32.0,32.0,7.0,0.0,0.0,0.0
Raw pressery life + - 250ml,0.1,10.1,2.743,0.0,0.0,0.9,20.0,0.0,0.0,0.0
Lays Spanish Tomato - fssai - 90g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nescafé cappuccino - nestle - 5 serving packets,1.0,71.2,11.5,11.3,64.9,1.3,320.2,0.0,0.0,0.0
India gate Basmati rice - KRBL limited - 1 kg,1.0,77.0,6.7,0.5,0.0,0.001,0.262,0.0,0.0,0.0
Brewed vinegar - Del Monte - 180 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karachi's cashew biscuits - karachi bakery - 400 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kalimark vibro paneer - 500 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e-Millet cookies - Moon Foods - 150g,2.0,63.5,5.3,23.5,0.0,0.37,0.0,0.0,0.0,0.0
Modern Sandwich Supreme - Modern Foods - 600 g,1.0,51.0,7.9,2.1,6.3,0.0,0.0,0.0,0.0,0.0
Twister - Delfi - 320g,5.0,15.0,0.19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Special Mukhwas - Natraj Auroville - 200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMG! Oh My Ganna Ginger Groove - Nutricane - 250 ml,205.0,9.14,0.0,0.0,9.14,0.0,0.0,0.0,0.0,0.0
Crunchy Nutty Peanut Butter - United Foods - 12 oz,2.0,31.9,9.46,53.45,10.02,18.23,4.75,0.0,0.0,0.0
Jeera Special - BTW - 400 g,2.0,0.1,7.8,28.08,0.79,52.02,1.78,0.0,0.0,0.0
Jus de mangue - Paper boat - 180ml,259.0,15.5,0.1,0.1,12.5,0.0,0.1,0.0,0.0,0.0
Chikki - paper boat - 31 g,2.0,56.5,13.9,24.0,34.0,0.0,0.0,0.0,0.0,0.0
